year	crisis_name	source	category	text	label	confidence	how_to_improve	tweet_id_truncated
2013	Manila floods in the Philippines 	Government	Caution and advice	@MMDA: FLOOD UPDATE (ALONG MANILA) as of 7:37 AM, #mmda http://t.co/HqLdfNZIhdâ€ --- update sa baha sa Manila	Is very UNCLEAR - hard to understand	0.407	the ending needs to be in english	3.69606548030378E+017
2013	Manila floods in the Philippines 	Government	Caution and advice	@MMDA: FLOOD UPDATES: as of 5:02 PM, (MANILA) All reported floods in MANILA have already subsided. (SOUTHERN)... http://t.co/Nh9f8rcWCm	Is very CLEAR - easy to understand	1		3.6938669937512E+017
2013	Manila floods in the Philippines 	Media	Caution and advice	@nababaha: Weather satellite feed as of Aug 20, 2013 12:00 PM. http://t.co/U2CnntwDGn #MaringPH	Is very CLEAR - easy to understand	0.6222		3.69673598161527E+017
2013	Alberta floods in Canada	Government	Caution and advice	@nenshi - The City asks that Calgarians LIMIT WATER USE as much as possible. Thank you. #yyc #yycflood	Is very CLEAR - easy to understand	0.6765	great|Calgary, Alberta floods.  City asks everyone to LIMIT WATER USE.	3.48309529068446E+017
2013	Manila floods in the Philippines 	Media	Caution and advice	@PhilstarNews: ALL GOV'T OFFICES in Metro Manila declared #walangpasok today, Aug19. | #maringupdates here http://t.co/apmb1nAOs4	Needs slight IMPROVEMENT to be clear	0.5955	The Tagalog hashtag makes this tweet somewhat unclear to me, but to someone who speaks both English and Tagalog, perhaps it is not unclear.	3.69218960765379E+017
2013	Manila floods in the Philippines 	Media	Caution and advice	@PhilstarNews: QUEZON CITY classes in all levels resume tomorrow, Mayor Herbert Bautista announces. | #maypasok #MaringUpdates huhu	Is very CLEAR - easy to understand	0.8133	Needs to be clear what is happening.	3.70509778805486E+017
2013	Queensland floods in Australia	Government	Caution and advice	@QPSmedia @theqldpremier #CoatesHire will also be open in Caloundra and Maroochydore this morning #bigwet Please retweet	Needs slight IMPROVEMENT to be clear	0.6863	Confusing|great|Queensland floods. What's open and where today?	2.95695273722802E+017
2012	Typhoon Pablo in the Philippines 	Media	Caution and advice	@robertspeta Landfall expected in 8-10 hrs. in Northeastern Mindanao. Rains projected to be heavy-intense #PabloPH @sol ...	Is very CLEAR - easy to understand	1		2.75575906238607E+017
2013	Singapore haze	Media	Caution and advice	@STcom: #SGHaze update: PSI is 371 at 1pm @NEAsg OMFG	Needs slight IMPROVEMENT to be clear	0.6715	#Singapore haze|@STcom: Singapore Haze update: PSI is 371 at 1pm @NEAsg  #SGHaze|Don't know what they are saying|huh?	3.47581129429246E+017
2013	Singapore haze	Media	Caution and advice	@YahooSG: Three-hour PSI reading at 323 at 9am within the hazardous range. #sghaze #haze #singapore	Needs slight IMPROVEMENT to be clear	0.5125	Where|What does PSI mean?|What is PSI	3.48248128647999E+017
2013	Colorado floods in the USA	Government	Caution and advice	//t.co/Lti7AeKB8a or call 1-800-621-FEMA Plz RT	Is very UNCLEAR - hard to understand	1	don`t know yet may be - in case of having info. for big cracks call 1-800-621|wellsville	3.80777984455475E+017
2013	Colorado floods in the USA	Government	Caution and advice	//t.co/Lti7AeKB8a or call 1-800-621-FEMA Plz RT	Is very UNCLEAR - hard to understand	0.9211	doesn't say what about|The tweet needs far more information to give context and to make sense to the average reader.|Please call 1-800-621-FEMA or visit //t.co/Lti7AeKB8a for more information regarding flood levels in Colorado|Give more info|Need more info|Needs more info|Don't know what they are saying|huh|Not clear what the Tweet is about|It is unclear what it is asking people to do and should have a clear message.|No idea what this means	3.80777984455475E+017
2013	Colorado floods in the USA	Government	Caution and advice	//t.co/Lti7AeKB8a or call 1-800-621-FEMA Plz RT	Is very UNCLEAR - hard to understand	1	Needs more info|I do not know what this is saying	3.80777984455475E+017
2013	Queensland floods in Australia	Media	Caution and advice	#bigwet Latest BoM FLOOD WARNINGS for coastal rivers and adjacent inlands catchments from Rocky to NSW. http://t.co/VsCjdcko	Is very CLEAR - easy to understand	0.5733	What is BoM?	2.9550868589407E+017
2013	Queensland floods in Australia	Media	Caution and advice	#bigwet update #moggill #qld Peaking below the minor flood level (10.0m) at about 9.5 metres overnight Monday Jan28.	Is very CLEAR - easy to understand	0.5879	hashtags to end	2.95982398993207E+017
2013	Bohol earthquake in the Philippines	Media	Caution and advice	#Breaking: #Earthquake measuring 7.4 hits southern Philippines, says USGS	Is very CLEAR - easy to understand	0.8229		3.89924276666524E+017
2013	Australia bushfires	Media	Caution and advice	#Breaking: A state of emergency is declared in NSW by Premier Barry O'Farrell. Live: http://t.co/Nw6Epjg0lN #NSWfires	Is very CLEAR - easy to understand	0.8111		3.91830520759202E+017
2013	Colorado floods in the USA	Media	Caution and advice	#BREAKING: Re-evacuation orders in Longmont - act now!! Greens, Champion Greens and the Valley neighborhood #COflood #COâ€¦	Needs slight IMPROVEMENT to be clear	0.6736	Re-evacuation orders in Longmont - act now!! Greens, Champion Greens and the Valley neighborhood #COflood #COâ€¦#BREAKING:|#BREAKING: Re-evacuation orders in Longmont - act now!! Re-evacuation orders also in Greens, Champion Greens and the Valley neighborhood #COflood #COâ€¦	3.79288473863066E+017
2013	Colorado floods in the USA	Government	Caution and advice	#COFlood Boil water advisories still in place for Lyons, Mountain Meadow (Allenspark), and Firestone. #cohealth	Is very CLEAR - easy to understand	0.9079	#COFlood: Boil water advisories still in place for Lyons, Mountain Meadow (Allenspark), and Firestone. #cohealth|wellsville|Boil water advisories still in place for Lyons, Mountain Meadow (Allenspark), and Firestone. #cohealth #COFlood	3.80373376709034E+017
2013	Colorado floods in the USA	Government	Infrastructure and utilities	#coflood CDOT opened 7 highways between yesterday &amp; today following flood repairs thanks to maintenance crews &amp; contractors	Needs slight IMPROVEMENT to be clear	0.9561	7 highways opened by CDOT after repairs made by maintenance crews & contractors|7 highways opened by CDOT thanks to maintenance crews and contractors|7 highways opened by CDOT thanks to  flood repairs thanks to maintenance crews & contractors|7 highways opened by CDOT thanks to maintenance crews & contractors|7 highways opened by CDOT thanks to maintenance crews & contractors|The Colorado Department of Transportation opened 7 highways between yesterday & today following flood repairs thanks to maintenance crews & contractors #coflood|wellsville|wellsville|Colorado Department Of Transportation CDOT opened 7 highways between yesterday & today following flood repairs thanks to maintenance crews & contractors #coflood	3.81613745660641E+017
2013	Colorado floods in the USA	Government	Infrastructure and utilities	#coflood CDOT opened 7 highways between yesterday &amp; today following flood repairs thanks to maintenance crews &amp; contractors	Needs slight IMPROVEMENT to be clear	1	wellsville	3.81613745660641E+017
2013	Colorado floods in the USA	Government	Infrastructure and utilities	#coflood CDOT opened 7 highways between yesterday &amp; today following flood repairs thanks to maintenance crews &amp; contractors	Needs slight IMPROVEMENT to be clear	1		3.81613745660641E+017
2013	Colorado floods in the USA	Government	Infrastructure and utilities	#coflood CDOT opened 7 highways between yesterday &amp; today following flood repairs thanks to maintenance crews &amp; contractors	Needs slight IMPROVEMENT to be clear	0.6468	hashtag to end|hashtag to end|hashtag to end|punctuation needs improvement|7 highways opened by CDOT thanks to flood repairs by maintenance crews & contractor|7 highways by CDOT thanks to flood repairs by maintenance crews & contractors|Explain what CDOT means|Colorado flood update: CDOT opened 7 highways between yesterday & today following flood repairs thanks to maintenance crews & contractors #coflood|which ones|Move hashtag to end|Move hashtag to end. What does CDOT stand for?|which highways|What is CDOT?|Colorado Department of Transportation and say which highways	3.81613745660641E+017
2013	Colorado floods in the USA	Government	Infrastructure and utilities	#coflood CDOT opened 7 highways between yesterday &amp; today following flood repairs thanks to maintenance crews &amp; contractors	Needs slight IMPROVEMENT to be clear	0.8		3.81613745660641E+017
2013	Colorado floods in the USA	Government	Other Useful Information	#COflood Releases from Olympus Dam have increased to 1100 cfs. We have seen rain at Estes. Rain inflows to Lake... http://t.co/aoKTSgyyQn	Needs slight IMPROVEMENT to be clear	0.6154	Move hashtag to the end. What does cfs stand for?	3.79306253501342E+017
2013	Colorado floods in the USA	NGOs	Caution and advice	#COFlood water can contain sewage. Wash cleanup clothes separate from uncontaminated laundry. http://t.co/fRsXN2jJHQ	Is very CLEAR - easy to understand	0.8021		3.80412450870268E+017
2013	Colorado floods in the USA	Media	Caution and advice	#Colorado braces for more heavy rain, devastating floods http://t.co/vy2io8d86Y	Is very CLEAR - easy to understand	0.8198	Colorado braces for more heavy rain, devastating floods http://t.co/vy2io8d86Y #Colorado	3.79231162876854E+017
2013	Australia bushfires	Media	Caution and advice	#Davis Australia bushfires live: fears Blue Mountains fires will join together http://t.co/VOkqg4UoKU	Is very CLEAR - easy to understand	0.7907		3.92174818579481E+017
2013	Bohol earthquake in the Philippines	Media	Caution and advice	#EARTHQUAKE Quake with prelim mag of 7.2 struck Philippines, 25 miles east-northeast of Tagbilaran, Bohoi; no tsunami warning yet	Is very CLEAR - easy to understand	0.5778		3.89913644131045E+017
2013	Manila floods in the Philippines	Media	Caution and advice	#FloodPH â€œ@inquirerdotnet: #Marikinariver ALERT LEVEL 1.. 15.4m water level as of 9:19 ALL FLOODGATES open | via @MarikinaPIOâ€	Is very CLEAR - easy to understand	0.4223		3.69628664561807E+017
2013	Manila floods in the Philippines 	Media	Caution and advice	#FloodPH BDO advisory: All branches in NCR, affected areas closed today http://t.co/8I6IivX83A, via @Philbizwatcher	Needs slight IMPROVEMENT to be clear	0.6674	Hashtag shoule be moved to the end|What is BDO?	3.69296647655653E+017
2012	Colorado wildfires in the USA	Media	Caution and advice	#HighParkFire UPDATE: Re-Evacuations being announced for Hwy 14, east of Seaman Reservoir.	Is very CLEAR - easy to understand	0.6296	UPDATE: Re-Evacuations being announced for Hwy 14, east of Seaman Reservoir. #HighParkFire	2.14426300994163E+017
2012	Colorado wildfires in the USA	Media	Caution and advice	#HighParkFire: 60% Containment, Red Flag Conditions Concern Firefighters http://t.co/UU7mukPJ	Is very CLEAR - easy to understand	0.8132		2.16215452685312E+017
2013	Manila floods in the Philippines	Media	Caution and advice	#Marikinariver ALERT LEVEL 2.. 16.8m ang water level as of 12:09nn via @MarikinaPIO #MaringPH	Is very UNCLEAR - hard to understand	0.4095	Marikina River ALERT LEVEL 2.. 16.8m ang water level as of 12:09nn via @MarikinaPIO #MaringPH #Marikinariver	3.69676626432246E+017
2013	Manila floods in the Philippines 	Media	Caution and advice	#MaringPH will continue to enhance the Southwest Monsoon (#Habagat) that will bring moderate to heavy... http://t.co/U7Vâ€¦	Is very CLEAR - easy to understand	0.8111		3.7003059216896E+017
2013	Alberta floods in Canada	Media	Caution and advice	#MEDHAT: Evacuated areas must remain evacuated. It's still not safe to enter flooded areas. #abflood	Is very CLEAR - easy to understand	1		3.49161274774532E+017
2013	Alberta floods in Canada	Media	Caution and advice	#MEDHAT: Evacuated areas must remain evacuated. It's still not safe to enter flooded areas. #abflood	Is very CLEAR - easy to understand	0.5824	Do not re-enter evacuated or flooded areas -#MEDHAT	3.49161274774532E+017
2013	Alberta floods in Canada	Media	Caution and advice	#MEDHAT: Evacuated areas must remain evacuated. It's still not safe to enter flooded areas. #abflood	Is very CLEAR - easy to understand	0.7803	i wouldn't|Do not re-enter evacuated and flooded areas - #MEDHAT	3.49161274774532E+017
2013	Australia bushfires	Media	Caution and advice	#newsupdate Weather fear as Australia fires burn: More than 3,000 firefighters in Austral... http://t.co/3C6wJZOhAh #bbc #news #bbcupdat	Is very CLEAR - easy to understand	0.7905	Weather creating more fear as Australia's fires burn:  More than 3,000 firefights in Australia	3.92799157494088E+017
2013	Australia bushfires	Media	Caution and advice	#nswfires #NSWRFS #Blaxland MT riverview us now probably better prepared for a fire than it has ever been. Risk reduced in the last week	Needs slight IMPROVEMENT to be clear	0.7978	hashtags to end|Leads with too many hashtags; maybe save some for the end. Also, there's a typo ("us" is supposed to be "is," I think) which had me confused for a moment.|MT riverview : now well prepared for fire. Risk reduced in last week.|Typo..us should be is	3.92586590192538E+017
2013	Australia bushfires	Government	Caution and advice	#nswfires If you see an unattended #nswfire immediately call Triple Zero (000) Please do not call 000 to report smoke	Is very CLEAR - easy to understand	0.5955	hashtag to end	3.91529344541008E+017
2013	Australia bushfires	NGOs	Caution and advice	#NSWFIRES NE of Mount Coramba, Type: Bush fire, Status: Out of Control, Size: 1 ha, Map: http://t.co/y44ogicSCF http://t.co/GqQ45VL1MN	Needs slight IMPROVEMENT to be clear	0.6106	This is too technical, namely "Size: 1 ha"|This is too technically, namely the "Size: 1 ha" part.|NE of Mount Coramba : bushfire out of control, size 1 hectare - #NSWFIRES Map: http://t.co/y44ogicSCF|#NSWFIRES NE of Mount Coramba, Type: Bush fire, Status: Out of Control, Size: 1 hectare, Map: http://t.co/y44ogicSCF http://t.co/GqQ45VL1MN|hard to read|Mount Coramba, Australia - Out of control bush fire.|1 ha should be hectare to be more understandable.|Should say hectare instead of Ha.|How bad is size 1a?	3.9505563852014E+017
2013	Australia bushfires	NGOs	Caution and advice	#NSWFIRES NE of Mount Coramba, Type: Bush fire, Status: Out of Control, Size: 1 ha, Map: http://t.co/y44ogicSCF http://t.co/GqQ45VL1MN	Is very CLEAR - easy to understand	0.6176	Hashtag should be moved to end, too technical	3.9505563852014E+017
2013	Australia bushfires	Media	Caution and advice	#nswfires Nov01 16:00 70km ESE of Walcha /Oxley Hwy Kangaroo Flat Rd &amp; Racecourse Trail #outofcontrol #bushfire 150ha http://t.co/u0iBqwO2ml	Is very CLEAR - easy to understand	0.4289	Nov01 16:00 70km East-southeast of Walcha /Oxley Hwy Kangaroo Flat Rd & Racecourse Trail #outofcontrol #bushfire 150ha http://t.co/u0iBqwO2ml #nswfires	3.9622873924096E+017
2013	Australia bushfires	Media	Caution and advice	#NSWFires UPDATE: 58 fires are still burning with 14 uncontained! For emergency information on the fires call 1800 679 737 #9â€¦	Is very CLEAR - easy to understand	0.8046	There seems to be something amiss with the number at the end.	3.92093566513578E+017
2013	Australia bushfires	Media	Caution and advice	#nswfires: 2 x Emergency Warnings in place for fires near #Lithgow #Bilpin + Mount York Rd fire near #MountVictoria http:â€¦	Is very CLEAR - easy to understand	0.7791		3.93241606234444E+017
2013	Australia bushfires	Media	Caution and advice	#nswfires: horses can be taken directly to #Penrith Paceway or the #Hawkesbury Showground @702sydney @NSWRFS	Is very CLEAR - easy to understand	0.4286		3.92776009126122E+017
2012	Typhoon Pablo in the Philippines	Media	Caution and advice	#PabloPH NEW Signal No. 3: Negros Oriental, S. Negros Occidental, Iloilo, Guimaras, Antique, N. Palawan, Calamian Grp of Is.	Is very UNCLEAR - hard to understand	0.8228	This makes no sense at all	2.75899106730336E+017
2013	Singapore haze	Media	Caution and advice	#PrayforSingapore as #SGHaze Pollution index hits new dangerous and very unhealthy level of 400! #SingaporeHaze	Needs slight IMPROVEMENT to be clear	0.6621	#Singapore haze|#PrayforSingapore as #SGHaze Pollution index hits new dangerous and very unhealthy level of 400PSI! #SingaporeHaze|what is 400	3.47928812073394E+017
2013	Queensland floods in Australia	Government	Caution and advice	#QLD  Police: #bigwet Bruce H'Way near Mobil Service Station &amp; Butler St, Tully... http://t.co/pNxFvjoC	Needs slight IMPROVEMENT to be clear	0.5815	Police: Bruce H'Way near Mobil Service Station & Butler St, Tully... http://t.co/pNxFvjoC #QLD #bigwet	2.93925403238748E+017
2013	Queensland floods in Australia	Government	Caution and advice	#QldFloods update: Bruce Hwy OPEN with caution at Kybong south of Gympie, at Midgee &amp; at Tiaro, at Chinaman Creek h ...	Needs slight IMPROVEMENT to be clear	0.6067	hashtag to end|This tweet makes sense up until the point where it cuts off abruptly.|Bruce Highway open - drive with caution at  Kybong south of Gympie, at Midgee & at Tiaro, at Chinaman Creek h	2.9625321259862E+017
2013	Queensland floods in Australia	Media	Caution and advice	#QLDfloods watch: Authorities are preparing for tornadoes in southeast Queensland. We have more from #Brisbane http://t.c ...	Is very CLEAR - easy to understand	0.5957	Authorities are preparing for tornadoes in southeast Queensland. #QLDfloods|wellsville	2.95299432067498E+017
2013	Manila floods in the Philippines	NGOs	Caution and advice	#RescuePH  #FloodPH WATER LEVEL as of  7:59 PM  Rosario JS CurrentLevel 15.43 mtrs ; CriticalLevel 15.00 mtrs ; LUBOG NG 0.43 Meters	Needs slight IMPROVEMENT to be clear	0.5851	flood update - water level has passed critical at 15.43 metres|wellsville	3.69792313741963E+017
2013	Colorado floods in the USA	Media	Caution and advice	#russelladler #news Jamestown, Colorado, is under mandatory evacuation order due to flash flooding - @dailycamera http://t.co/yyqbHZajQz	Needs slight IMPROVEMENT to be clear	0.5838	Jamestown, Colorado, is under mandatory evacuation order due to flash flooding - @dailycamera http://t.co/yyqbHZajQz #russelladler #news	3.78057261081715E+017
2013	Singapore haze	Media	Caution and advice	#SGHaze 3-hr PSI is 322 as of 11am. View from One George Street, Singapore by Victor Joseph http://t.co/DKFU4SBNEQ	Is very CLEAR - easy to understand	0.6335	3-hr PSI is 322 as of 11am. View from One George Street, Singapore by Victor Joseph http://t.co/DKFU4SBNEQ#SGHaze	3.4827637307435E+017
2013	Singapore haze	Media	Caution and advice	#sghaze 8am update: The three-hour PSI is 158 http://t.co/HaQKIkhN1B	Needs slight IMPROVEMENT to be clear	0.4138		3.4786812887892E+017
2013	Singapore haze	Media	Caution and advice	#SGHaze PSI in Singapore goes down from record 321 at 10pm to 282 as of 11pm	Needs slight IMPROVEMENT to be clear	0.7083	#SGHaze Haze drop from record 321 per square inch at 10PM to 282 per square inch as of 11pm.|Pollutant standard index PSI in Singapore goes down from record 321 at 10pm to 282 as of 11pm #SGHaze	3.47370109796491E+017
2013	Singapore haze	Media	Caution and advice	#SGHaze PSI in Singapore goes down from record 321 at 10pm to 282 as of 11pm	Needs slight IMPROVEMENT to be clear	0.6235	Singapore Haze - PSI goes from 321 @ 10pm to 282 @ 11pm	3.47369954628223E+017
2013	Singapore haze	Media	Caution and advice	#SGHaze PSI in Singapore goes down from record 321 at 10pm to 282 as of 11pm	Needs slight IMPROVEMENT to be clear	0.4481	hashtag moved to end. What does PSI stand for?|What is PSI?	3.47372467012125E+017
2013	Singapore haze	Media	Caution and advice	#SGHaze PSI reading at 10am is 367.	Needs slight IMPROVEMENT to be clear	0.6	What is PSI?|Singapore Haze, and explain what PSI is	3.47897379955028E+017
2013	Singapore haze	Media	Caution and advice	#SGHaze PSI reading dips slightly to 355 as of 2pm, still in the hazardous range.	Is very CLEAR - easy to understand	0.5733	What is PSI?|Explain what PSI is	3.47603011113193E+017
2013	Singapore haze	Media	Caution and advice	#SGHaze PSI reading drops to 253 at 4pm.	Needs slight IMPROVEMENT to be clear	0.8		3.47627371660198E+017
2013	Singapore haze	Media	Caution and advice	#SGHaze PSI reading rises to 401 as of 12pm, well in the hazardous range.	Is very CLEAR - easy to understand	0.4289	singapore haze 12pm update - dangerously high at 401 pound per square inch|Pounds per square inch reading rises to 401 as of 12pm, well in the hazardous range. #SGHaze	3.47928463958749E+017
2013	Singapore haze	Media	Caution and advice	#SGhaze update: 3-hour PSI at 5pm is 73, in 'moderate' range, 24-hr PSI is 52-65. @NEAsg	Is very CLEAR - easy to understand	0.6571	Singapore haze update at 5pm : 73 PSI (pounds per square inch), moderate, 24-hr PSI is 52-65 #SgHaze update @NEAsg	3.49457904337826E+017
2013	Singapore haze	Media	Caution and advice	#SGHaze update: 3-hour PSI drops to 168 at 3pm @NEAsg	Needs slight IMPROVEMENT to be clear	0.6		3.47974106374873E+017
2013	Singapore haze	Media	Caution and advice	#SGHaze update: 3-hour PSI is 73 at 6pm @NEAsg	Is very CLEAR - easy to understand	0.5955	Singapore haze update at 6pm: 3 hour PSI is 73 @NEAsg	3.48381692064575E+017
2013	Singapore haze	Media	Caution and advice	#SGHaze update: 3-hour PSI is 77 at 7pm @NEAsg	Needs slight IMPROVEMENT to be clear	0.5	#Singapore haze|great|Singapore Haze Update - 3 hr PSI 77 @ 7 pm.|#SGHaze Singapore Haze update: 3-hour PSI is 77 at 7pm @NEAsg	3.48396653121765E+017
2013	Singapore haze	Media	Caution and advice	#sghaze update: 3-hour PSI is at 145 at 12am http://t.co/Yf721cj9FB	Needs slight IMPROVEMENT to be clear	0.4222		3.46673230402171E+017
2013	Singapore haze	Media	Caution and advice	#SGHaze update: 3-hour PSI up to 292 at 8am @NEAsg	Is very UNCLEAR - hard to understand	0.6823	#SGHaze update: 3-hour pounds per square inch up to 292 at 8am @NEAsg|singapore haze up to 290 pound per square inch at 8am|i don`t know it is just random words and numbers|wellsville	3.48285642490393E+017
2013	Singapore haze	Media	Caution and advice	#SGHaze update: 3pm reading down to 122 as more reports of blue skies http://t.co/x9ZBBCR61K http://t.co/3gJDSqGiua	Needs slight IMPROVEMENT to be clear	0.625	update: 3pm reading down to 122 as more reports of blue skies http://t.co/x9ZBBCR61K http://t.co/3gJDSqGiua #SGHaze|Singapore Haze update: 3pm reading down to 122 pressure per square inch as more reports of blue skies http://t.co/x9ZBBCR61K http://t.co/3gJDSqGiua  #SGHaze	3.48729584423932E+017
2013	Singapore haze	Media	Caution and advice	#SGHaze update: 5pm PSI reading falls to 73, the lowest reading since last Sunday http://t.co/6CMmq3BM3Y	Needs slight IMPROVEMENT to be clear	0.5833		3.48376625332756E+017
2013	Singapore haze	Media	Caution and advice	#sghaze update: Air quality has entered the hazardous level for the first time in S'pore history. 3-hour PSI is at 321 at â€¦	Needs slight IMPROVEMENT to be clear	0.7944	#Singapore haze|Singapore Haze update: Air quality has entered the hazardous level for the first time in S'pore history. 3-hour Pressure per square inch is at 321 at â€¦  #sghaze|more	3.47368054587535E+017
2013	Singapore haze	Media	Caution and advice	#SGHAZE UPDATE: PSI at 5pm is 110, which is in the unhealthy range.	Is very CLEAR - easy to understand	0.6296	UPDATE: PSI at 5pm is 110, which is in the unhealthy range. #SGHAZE	3.46561011781874E+017
2013	Singapore haze	Media	Caution and advice	#Sghaze update: PSI is 110 at 5pm, in the unhealthy range @NEAsg	Needs slight IMPROVEMENT to be clear	0.8		3.46555487879299E+017
